,Name,Price
0,"LENOVO ThinkPad E14 Gen 4 (Core i5-1235U, 8GB, 512GB SSD, Win 11 Pro) Black",16499000
1,"LENOVO ThinkPad P14s Gen 2 (Core i7-1165G7, 16GB, 1TB, 2 Year Warranty) Black",34990000
2,LENOVO IdeaPad Flex 5 14IAU7 [82R7002FID] - Storm Grey,14699000
3,LENOVO IdeaPad Gaming 3 15ACH6 [82K201UYID] - Shadow Black,12399000
4,LENOVO IdeaPad Gaming 3 15IAH7 [82S900F1ID] - Onyx Grey,13999000
5,LENOVO IdeaPad Gaming 3 15ARH7 [82SB00B8ID] - Onyx Grey,15399000
6,"DELL Latitude 3420 (Core i3-1115G4, 8GB, 256GB SSD)",11299000
7,"DELL Inspiron 3511 (Core i3-1115G4, 4GB, 256GB SSD, W11 + OHS) Carbon Black",5999000
8,"DELL G15 Ryzen Edition 5515 (AMD Ryzen 5 5600H, 8GB, 256GB) Phantom Grey",14999000
9,DELL Inspiron All-in-One 5415 (Ryzen 3 5425U),9794000
10,"DELL Inspiron 15 3501 (Core i5-1135G7 4GB, 1TB HDD, MX330) Accent Black",9999000
11,"DELL Inspiron 3891 Desktop (Pentium Gold G6405, 4GB, 1TB HDD, OHS, Monitor 19.5 Inch)",4999000
12,"ACER Nitro 5 AN515-57-52BQ (Core i5-11400H, 8GB, 512GB SSD, RTX 3050)",13000000
13,"ACER Aspire 3 Slim A314-35-C03Y (Celeron N5100, 4GB, 1TB HDD, Win 11 Home) Pure Silver",4750000
14,"ACER Aspire 5 A514-55G-53SH (Core i5-1235U, 8GB, 512GB, MX550,  Win 11 Home  + OHS 2021) Steel Gray",10399000
15,"ACER Aspire 3 Slim A314-22-R890 (AMD Ryzen 3, 4GB, 256GB SSD, Win 11 Home) Charcoal Black",5500000
16,HP OfficeJet Pro 9020 [1MR73D],5199000
17,EPSON Printer LQ-310,3289000
18,"DELL Latitude 5420 (Core i7-1165G7, 16GB, 512GB SSD)",18999000
19,EPSON Cyan Ink Cartridge 664 T6642,96000
20,SHARP 42 inch Digital TV 2T-C42DD1i-SB,2999000
21,CANON Battery Grip BG-E16,2990000
22,OPPO A57 4G 4GB/64GB - Glowing Black,2448000
23,SONY E 18-200mm F3.5-6.3 OSS LE SEL18200LE - Black,9099000
24,SANDISK Ultra Dual Drive OTG 64GB [SDDD2-064G-GAM46],146500
25,AUDIO-TECHNICA Headphone ATH-S100iS - Black,549000
26,SANDISK 128GB Extreme microSDXC [SDSQXAA-128G-GN6GN],269300
27,ARUBA JL680A Instant On 1930 8G 2SFP Switch,2604000
